,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.3092,0.0033,0.0019,0.0015,0.0035,0.0032,0.0,0.009,0.0101,0.0064,0.0023,0.002,0.0227,0.0063,0.0129,0.0004
Cassava,0.0341,0.2726,0.1163,0.0106,0.0187,0.0124,0.0,0.032,0.0494,0.0166,0.0334,0.0268,0.0076,0.0028,0.0235,0.0025
Pineapple,0.0174,0.0831,0.3478,0.0072,0.0156,0.0091,0.0,0.0285,0.0269,0.0074,0.0192,0.0072,0.0076,0.0011,0.0157,0.001
Para rubber,0.1599,0.2782,0.2892,0.909,0.3399,0.3444,0.2561,0.367,0.2743,0.3856,0.3654,0.2448,0.2727,0.0192,0.1501,0.2847
Oil palm,0.0083,0.0117,0.0148,0.0058,0.3061,0.0397,0.0366,0.0494,0.0747,0.0775,0.0541,0.0224,0.0379,0.0017,0.0042,0.018
Durian,0.0036,0.003,0.0021,0.0035,0.0131,0.1654,0.0244,0.0077,0.0152,0.0462,0.0824,0.0577,0.0303,0.0021,0.006,0.0032
Rambutan,0.0001,0.0,0.0001,0.0,0.0001,0.0003,0.0488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003
Coconut,0.0013,0.0011,0.0011,0.0001,0.0016,0.0014,0.0,0.0265,0.0059,0.0031,0.0027,0.002,0.0,0.0001,0.0008,0.0002
Mango,0.0006,0.0029,0.0009,0.0002,0.0008,0.0004,0.0,0.0036,0.034,0.0005,0.002,0.0004,0.0,0.0001,0.0043,0.0015
Longan,0.0002,0.0002,0.0001,0.0001,0.0006,0.0012,0.0,0.0006,0.0002,0.0201,0.0009,0.0024,0.0,0.0001,0.0004,0.0002
Jackfruit,0.0006,0.0006,0.0003,0.0002,0.0011,0.0028,0.0,0.001,0.0017,0.0015,0.0286,0.0028,0.0,0.0001,0.0004,0.0003
Mangosteen,0.0006,0.0001,0.0001,0.0,0.0003,0.0014,0.0,0.0003,0.0003,0.0008,0.002,0.0152,0.0,0.0001,0.0006,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0,0.0303,0.0,0.0,0.0
Reservoir,0.0146,0.0012,0.0024,0.0005,0.0043,0.0011,0.0,0.0063,0.0039,0.0005,0.0011,0.002,0.0,0.6473,0.0056,0.0026
Others,0.4458,0.3391,0.2211,0.053,0.2246,0.4028,0.5488,0.432,0.4809,0.3652,0.3606,0.5497,0.5606,0.3139,0.7635,0.0951
Forest,0.0036,0.003,0.0017,0.0082,0.0698,0.0144,0.0854,0.0362,0.0227,0.0686,0.0452,0.0645,0.0303,0.0052,0.0119,0.5892
