,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.4235,0.02,0.0093,0.1126,0.0106,0.0054,0.0,0.001,0.0005,0.0002,0.0001,0.0,0.0,0.0293,0.3876
Cassava,0.012,0.4245,0.1444,0.2028,0.0145,0.0054,0.0,0.0009,0.0006,0.0001,0.0003,0.0001,0.0,0.0033,0.1912
Pineapple,0.0072,0.1528,0.5094,0.1619,0.0143,0.0047,0.0,0.0009,0.0004,0.0001,0.0002,0.0,0.0,0.0015,0.1466
Para rubber,0.0026,0.0203,0.0168,0.8112,0.0124,0.007,0.0,0.0005,0.0001,0.0001,0.0002,0.0001,0.0,0.0011,0.1276
Oil palm,0.0054,0.0336,0.0339,0.2027,0.4382,0.0318,0.0,0.0025,0.0016,0.001,0.001,0.0002,0.0,0.0038,0.2443
Durian,0.0055,0.0207,0.0118,0.2949,0.0454,0.3205,0.0,0.0009,0.0008,0.0014,0.0037,0.0011,0.0,0.011,0.2821
Rambutan,0.0147,0.0118,0.0197,0.1737,0.0288,0.0395,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.7067
Coconut,0.0298,0.1063,0.0918,0.1324,0.0827,0.0384,0.0,0.0472,0.0044,0.0014,0.0017,0.0006,0.0,0.005,0.4583
Mango,0.0043,0.0858,0.022,0.0781,0.012,0.0033,0.0,0.0019,0.0075,0.0001,0.0004,0.0,0.0,0.0018,0.7828
Longan,0.0119,0.0383,0.0141,0.1805,0.0663,0.0707,0.0,0.0022,0.0002,0.0195,0.0012,0.0015,0.0,0.0198,0.5738
Jackfruit,0.0158,0.0704,0.032,0.328,0.0675,0.0934,0.0,0.0021,0.0015,0.0008,0.0223,0.001,0.0,0.0098,0.3555
Mangosteen,0.0209,0.0105,0.0118,0.0935,0.0214,0.059,0.0,0.0009,0.0004,0.0005,0.0019,0.0067,0.0,0.0065,0.7661
Langsat,0.0045,0.0045,0.0045,0.2921,0.0045,0.0382,0.0,0.0,0.0,0.0,0.0022,0.0,0.009,0.0,0.6404
Reservoir,0.006,0.0022,0.0034,0.0104,0.0039,0.0005,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.9062,0.067
Others,0.0125,0.0422,0.0219,0.0923,0.0181,0.0144,0.0,0.001,0.0005,0.0002,0.0003,0.0002,0.0,0.0302,0.7661
