,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.2688,0.003,0.0016,0.0011,0.003,0.0045,0.0108,0.0064,0.0098,0.0059,0.0046,0.0043,0.0099,0.0063,0.0076
Cassava,0.0368,0.2447,0.1075,0.0071,0.0157,0.0181,0.0118,0.0284,0.0483,0.0207,0.0317,0.0213,0.0132,0.0028,0.0146
Pineapple,0.018,0.0759,0.3172,0.0044,0.0123,0.0122,0.0099,0.0212,0.0287,0.009,0.0208,0.011,0.011,0.0011,0.0095
Para rubber,0.1913,0.3297,0.3407,0.9327,0.3849,0.4563,0.3419,0.4043,0.3177,0.4218,0.4441,0.3022,0.3736,0.0192,0.2074
Oil palm,0.0087,0.0127,0.0156,0.0046,0.3038,0.0419,0.0246,0.047,0.0731,0.1032,0.0757,0.0333,0.0308,0.0017,0.0101
Durian,0.0039,0.0033,0.0023,0.002,0.0073,0.1083,0.0443,0.0064,0.0149,0.0368,0.0542,0.0622,0.0451,0.0021,0.0048
Rambutan,0.0001,0.0,0.0001,0.0,0.0001,0.0002,0.0089,0.0001,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0002
Coconut,0.0013,0.001,0.0011,0.0001,0.001,0.0014,0.0,0.0188,0.0066,0.0026,0.0033,0.0014,0.0022,0.0001,0.0005
Mango,0.0007,0.0026,0.0009,0.0002,0.0007,0.0003,0.0,0.0037,0.0135,0.0002,0.0009,0.0003,0.0,0.0001,0.0031
Longan,0.0003,0.0002,0.0001,0.0001,0.0004,0.0007,0.0,0.0005,0.0002,0.0117,0.0005,0.0014,0.0022,0.0001,0.0003
Jackfruit,0.0006,0.0006,0.0004,0.0002,0.001,0.0018,0.0,0.001,0.001,0.0018,0.0149,0.002,0.0022,0.0001,0.0003
Mangosteen,0.0005,0.0001,0.0001,0.0,0.0002,0.0008,0.001,0.0003,0.0001,0.0005,0.0009,0.0103,0.0,0.0001,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0001,0.0001,0.0,0.0121,0.0,0.0
Reservoir,0.0132,0.0013,0.0023,0.0004,0.004,0.0015,0.0049,0.0049,0.005,0.0016,0.0018,0.0029,0.0022,0.6473,0.0044
Others,0.4556,0.3248,0.2101,0.0473,0.2654,0.352,0.5399,0.4571,0.4811,0.3841,0.3466,0.5473,0.4956,0.3192,0.7366
