,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,60773,2870,1335,16153,1527,770,0,138,65,25,13,5,3,4203,54375,1242
Cassava,6699,237962,80916,113662,8129,3029,0,494,318,65,188,67,1,1862,99254,7897
Pineapple,3413,72569,241948,76880,6781,2228,0,439,173,29,108,18,1,708,66416,3232
Para rubber,31439,242911,201140,9703077,148109,83940,21,5658,1767,1512,2054,611,36,12847,633893,891938
Oil palm,1634,10231,10321,61705,133384,9682,3,762,481,304,304,56,5,1166,17903,56461
Durian,698,2600,1483,37099,5714,40321,2,118,98,181,463,144,4,1382,25351,10141
Rambutan,26,21,35,308,51,70,4,0,0,0,0,0,0,5,362,891
Coconut,257,918,793,1143,714,332,0,408,38,12,15,5,0,43,3366,591
Mango,127,2521,646,2296,352,98,0,56,219,2,11,1,0,54,18215,4783
Longan,48,155,57,730,268,286,0,9,1,79,5,6,0,80,1550,771
Jackfruit,114,508,231,2368,487,674,0,15,11,6,161,7,0,71,1670,896
Mangosteen,119,60,67,533,122,336,0,5,2,3,11,38,0,37,2529,1836
Langsat,2,2,2,130,2,17,0,0,0,0,1,0,4,0,150,135
Reservoir,2868,1042,1646,4967,1861,261,0,97,25,2,6,5,0,433041,23794,8242
Others,87641,296052,153761,565412,97850,98167,45,6660,3098,1432,2027,1372,74,210023,3225276,297835
Forest,714,2610,1193,87659,30401,3515,7,558,146,269,254,161,4,3499,50419,1845555
