,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.4138,0.0213,0.0102,0.1234,0.0093,0.004,0.0,0.0006,0.0003,0.0001,0.0,0.0,0.0,0.0293,0.3789,0.0087
Cassava,0.0102,0.4109,0.1404,0.2263,0.0126,0.0041,0.0,0.0004,0.0003,0.0001,0.0002,0.0001,0.0,0.0033,0.1771,0.0141
Pineapple,0.006,0.1471,0.4969,0.1846,0.0129,0.0035,0.0,0.0005,0.0002,0.0,0.0001,0.0,0.0,0.0015,0.1398,0.0068
Para rubber,0.0022,0.0182,0.0154,0.8202,0.0096,0.0054,0.0,0.0002,0.0001,0.0001,0.0001,0.0,0.0,0.0011,0.053,0.0746
Oil palm,0.0047,0.0308,0.0317,0.2301,0.4257,0.0258,0.0,0.0012,0.0009,0.0005,0.0005,0.0001,0.0,0.0038,0.0588,0.1855
Durian,0.0048,0.0187,0.0109,0.3351,0.045,0.2884,0.0,0.0004,0.0003,0.0007,0.0022,0.0005,0.0,0.011,0.2015,0.0806
Rambutan,0.013,0.0118,0.0192,0.1839,0.0248,0.0378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.2042,0.5025
Coconut,0.0261,0.1026,0.0876,0.1639,0.0893,0.0295,0.0,0.0339,0.0016,0.0009,0.0009,0.0005,0.0,0.005,0.3898,0.0684
Mango,0.0036,0.0833,0.0212,0.0857,0.0114,0.0037,0.0,0.0009,0.0052,0.0,0.0002,0.0,0.0,0.0018,0.62,0.1628
Longan,0.0094,0.0346,0.0138,0.1985,0.0675,0.0705,0.0,0.0005,0.0,0.0106,0.0005,0.0005,0.0,0.0198,0.3832,0.1906
Jackfruit,0.014,0.063,0.0298,0.3566,0.0637,0.0891,0.0,0.0008,0.0004,0.0004,0.0162,0.0007,0.0,0.0098,0.2313,0.1241
Mangosteen,0.0204,0.0088,0.0105,0.1051,0.0216,0.0558,0.0,0.0004,0.0,0.0004,0.0011,0.0035,0.0,0.0065,0.4438,0.3222
Langsat,0.0022,0.009,0.0045,0.2944,0.0045,0.0404,0.0,0.0,0.0,0.0,0.0022,0.0,0.0022,0.0,0.3371,0.3034
Reservoir,0.0057,0.002,0.0033,0.0114,0.0037,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.9062,0.0498,0.0172
Others,0.0156,0.0562,0.0297,0.1232,0.0175,0.0167,0.0,0.0006,0.0003,0.0002,0.0002,0.0001,0.0,0.0416,0.6391,0.059
Forest,0.0003,0.0011,0.0006,0.0456,0.0134,0.0014,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0017,0.0249,0.9105
