,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.397,0.0312,0.0147,0.1348,0.0069,0.0042,0.0,0.0008,0.0001,0.0001,0.0002,0.0,0.0,0.03,0.38
Cassava,0.013,0.4142,0.1411,0.2291,0.0071,0.005,0.0,0.0014,0.0001,0.0001,0.0001,0.0,0.0,0.0032,0.1855
Pineapple,0.0093,0.1737,0.479,0.1783,0.0095,0.0055,0.0,0.0026,0.0001,0.0,0.0001,0.0,0.0,0.0014,0.1406
Para rubber,0.0027,0.0263,0.0213,0.7995,0.0068,0.0063,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0011,0.1342
Oil palm,0.0048,0.038,0.0369,0.2542,0.3669,0.0282,0.0,0.0058,0.0002,0.0002,0.0002,0.0,0.0,0.0033,0.2614
Durian,0.0053,0.0297,0.0146,0.3686,0.0356,0.243,0.0,0.0024,0.0001,0.0002,0.0011,0.0,0.0,0.0091,0.2902
Rambutan,0.0094,0.0242,0.0209,0.2134,0.0363,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.6639
Coconut,0.0247,0.0952,0.0978,0.2198,0.0446,0.0393,0.0,0.0382,0.0003,0.0002,0.0001,0.0,0.0,0.0069,0.4327
Mango,0.004,0.0941,0.0281,0.1138,0.0065,0.0058,0.0,0.0017,0.001,0.0001,0.0001,0.0,0.0,0.0015,0.7434
Longan,0.0046,0.0525,0.0172,0.2096,0.0442,0.0701,0.0,0.0027,0.0,0.0024,0.0,0.0005,0.0,0.0121,0.5841
Jackfruit,0.014,0.0838,0.0421,0.3447,0.0447,0.0872,0.0,0.0029,0.0,0.0004,0.0042,0.0,0.0,0.0071,0.3688
Mangosteen,0.0212,0.0071,0.014,0.098,0.0172,0.0524,0.0,0.0007,0.0,0.0003,0.0,0.0,0.0,0.0061,0.783
Langsat,0.0,0.0194,0.0108,0.2845,0.0065,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6509
Reservoir,0.0058,0.0025,0.004,0.0128,0.003,0.0008,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.8995,0.0714
Others,0.0113,0.0445,0.0239,0.1037,0.0102,0.0123,0.0,0.0012,0.0001,0.0001,0.0001,0.0,0.0,0.0305,0.7622
