,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,61288,4631,1974,12304,1117,2635,0,363,227,82,65,1,4,4312,54551
Cassava,10680,267453,86853,72222,4259,9990,0,1498,932,234,345,19,5,1811,103944
Pineapple,6124,95387,249022,43052,4067,7692,0,1677,681,94,250,13,4,650,66876
Para rubber,53350,467922,361150,9047585,112897,252054,8,33995,6240,3184,4185,491,117,12866,1604677
Oil palm,2021,15415,13930,51083,112102,23120,1,3174,1547,767,553,73,14,1006,79550
Durian,1072,5347,2349,22736,2979,52927,0,381,257,190,505,115,14,1158,36812
Rambutan,28,53,51,283,86,105,0,1,0,0,0,0,0,4,1207
Coconut,295,1033,1009,798,275,767,0,468,151,22,28,0,0,60,3742
Mango,162,3116,916,2260,255,235,0,111,243,5,7,0,0,42,21296
Longan,37,332,83,570,152,428,0,9,5,43,8,3,0,50,2416
Jackfruit,158,868,423,1697,340,1051,0,43,22,12,89,10,2,54,2786
Mangosteen,142,92,129,352,83,412,0,5,6,6,6,18,1,36,4648
Langsat,0,11,6,107,5,30,0,0,0,0,0,0,3,0,302
Reservoir,3147,1502,2174,3944,1485,1184,0,183,181,26,39,2,0,429851,34139
Others,106005,377567,184628,497455,78137,188870,19,17489,9320,2749,2797,863,290,215975,5391525
