,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.1545,0.0131,0.0105,0.0006,0.0029,0.0108,0.0175,0.0047,0.0093,0.008,0.0107,0.006,0.0133,0.0042,0.0133,0.0012
Cassava,0.1688,0.2286,0.1457,0.0103,0.0135,0.0474,0.0337,0.0678,0.0514,0.0302,0.0687,0.0203,0.0433,0.0032,0.0587,0.0046
Pineapple,0.0663,0.0933,0.1557,0.0132,0.0193,0.0177,0.0125,0.142,0.0146,0.0245,0.0345,0.0247,0.0162,0.0023,0.0625,0.0118
Para rubber,0.2522,0.3911,0.4461,0.9206,0.7909,0.4576,0.4158,0.5895,0.5777,0.3031,0.4375,0.2221,0.3415,0.0093,0.212,0.2293
Oil palm,0.0099,0.0103,0.0072,0.0048,0.0512,0.0416,0.0674,0.0186,0.0273,0.1102,0.046,0.0932,0.0987,0.0004,0.0149,0.053
Durian,0.0169,0.0105,0.0159,0.0019,0.0038,0.0998,0.0741,0.0077,0.0767,0.1167,0.1094,0.1416,0.107,0.002,0.0113,0.0067
Rambutan,0.0002,0.0001,0.0001,0.0001,0.0001,0.0011,0.0018,0.0001,0.0007,0.0012,0.0009,0.002,0.0012,0.0,0.0001,0.0003
Coconut,0.0012,0.0009,0.0008,0.0,0.0001,0.001,0.001,0.0009,0.0009,0.0011,0.0016,0.0011,0.0025,0.0001,0.0012,0.0005
Mango,0.0049,0.003,0.0019,0.0005,0.0009,0.0051,0.0072,0.0021,0.0078,0.0048,0.0052,0.0023,0.007,0.0,0.005,0.0017
Longan,0.0011,0.001,0.001,0.0001,0.0005,0.0033,0.0052,0.0005,0.0028,0.0119,0.0038,0.0026,0.0038,0.0001,0.0005,0.0004
Jackfruit,0.0021,0.0012,0.0022,0.0003,0.0002,0.0115,0.0069,0.001,0.0079,0.012,0.0151,0.011,0.0099,0.0001,0.001,0.0004
Mangosteen,0.0005,0.0002,0.0005,0.0001,0.0001,0.0035,0.003,0.0002,0.0015,0.0048,0.0032,0.0132,0.0061,0.0,0.0007,0.0008
Langsat,0.0,0.0001,0.0001,0.0,0.0001,0.0006,0.0009,0.0,0.0,0.0003,0.0,0.0003,0.0001,0.0,0.0,0.0
Reservoir,0.0204,0.0062,0.0087,0.0005,0.001,0.0038,0.0043,0.0022,0.0062,0.0043,0.0045,0.004,0.004,0.7557,0.0314,0.0111
Others,0.2936,0.2359,0.2006,0.0238,0.0513,0.2392,0.2703,0.1168,0.2047,0.2207,0.2445,0.2517,0.2735,0.2179,0.5633,0.1008
Forest,0.0073,0.0045,0.0029,0.0232,0.0641,0.056,0.0783,0.0459,0.0106,0.1461,0.0143,0.2041,0.072,0.0046,0.0239,0.5773
